xflr5 v6.47

E387
Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  5.000       0.023     0.913    -0.084     0.632     1.000    0.0000  -1.4612
 Cpi          Cpv
 0.2008    0.1601
 0.1999    0.1547
 0.2000    0.1481
 0.1987    0.1399
 0.2054    0.1321
 0.2195    0.1242
 0.2317    0.1155
 0.2293    0.1197


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  3.000       0.021     0.714    -0.089     0.701     1.000    0.0000  -0.8915
 Cpi          Cpv
-----------------
 0.2277    0.1192
 0.1921    0.1125
 0.1472    0.1013
 0.0858    0.0820
 0.0302    0.0565
-0.0129    0.0273
-0.0539   -0.0066
-0.0948   -0.0492
-0.1402   -0.1115
-0.1904   -0.2187
-0.2465   -0.3958
-0.3097   -0.5745
-0.3794   -0.5809
-0.4637   -0.5864
-0.5570   -0.5932
-0.6503   -0.6053
-0.7327   -0.6299
-0.8043   -0.6737
-0.8606   -0.7355
-0.8982   -0.7892
-0.9114   -0.8217
-0.9248   -0.8449
-0.9373   -0.8626
-0.9519   -0.8776
-0.9641   -0.8876
-0.9725   -0.8915
-0.9757   -0.8862
-0.9638   -0.8575
-0.9233   -0.8116
-0.8270   -0.6403
-0.5678   -0.4849
-0.3268   -0.0038
 0.9798    0.9999
 0.6883    0.6318
 0.4741    0.3930
 0.3379    0.2957
 0.2676    0.2178
 0.2308    0.1926
 0.2091    0.1738
 0.1973    0.1651
 0.1906    0.1608
 0.1878    0.1595
 0.1866    0.1595
 0.1862    0.1600
 0.1865    0.1607
 0.1874    0.1616
 0.1881    0.1622
 0.1891    0.1625
 0.1898    0.1625
 0.1909    0.1623
 0.1913    0.1612
 0.1921    0.1595
 0.1923    0.1569
 0.1934    0.1538
 0.1934    0.1493
 0.1944    0.1436
 0.1940    0.1362
 0.2015    0.1293
 0.2164    0.1222
 0.2293    0.1145
 0.2277    0.1192


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  2.500       0.020     0.662    -0.090     0.716     1.000    0.0000  -0.8208
 Cpi          Cpv
-----------------
 0.2262    0.1202
 0.1913    0.1134
 0.1472    0.1022
 0.0865    0.0832
 0.0319    0.0581
-0.0102    0.0289
-0.0501   -0.0060
-0.0898   -0.0523
-0.1339   -0.1249
-0.1826   -0.2547
-0.2370   -0.4396
-0.2982   -0.5401
-0.3657   -0.5460
-0.4474   -0.5515
-0.5376   -0.5589
-0.6274   -0.5726
-0.7060   -0.6004
-0.7734   -0.6478
-0.8253   -0.7094
-0.8582   -0.7581
-0.8666   -0.7845
-0.8744   -0.8014
-0.8804   -0.8124
-0.8871   -0.8197
-0.8899   -0.8208
-0.8866   -0.8137
-0.8747   -0.7949
-0.8434   -0.7487
-0.7773   -0.6823
-0.6450   -0.4913
-0.3514   -0.2502
 0.0091    0.2398
 0.9981    0.9743
 0.5807    0.5129
 0.3780    0.3115
 0.2605    0.2123
 0.2044    0.1605
 0.1786    0.1412
 0.1651    0.1319
 0.1597    0.1292
 0.1580    0.1298
 0.1593    0.1325
 0.1615    0.1358
 0.1639    0.1390
 0.1666    0.1421
 0.1696    0.1451
 0.1721    0.1475
 0.1747    0.1495
 0.1769    0.1509
 0.1792    0.1519
 0.1809    0.1522
 0.1828    0.1516
 0.1840    0.1501
 0.1861    0.1480
 0.1871    0.1446
 0.1889    0.1399
 0.1893    0.1337
 0.1977    0.1278
 0.2134    0.1218
 0.2271    0.1153
 0.2262    0.1202


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  2.000       0.019     0.615    -0.090     0.733     1.000    0.0000  -0.7689
 Cpi          Cpv
-----------------
 0.2248    0.1275
 0.1907    0.1200
 0.1472    0.1084
 0.0874    0.0885
 0.0337    0.0629
-0.0073    0.0344
-0.0461    0.0012
-0.0846   -0.0431
-0.1274   -0.1170
-0.1746   -0.2610
-0.2273   -0.4854
-0.2866   -0.5097
-0.3519   -0.5158
-0.4309   -0.5221
-0.5181   -0.5312
-0.6044   -0.5481
-0.6792   -0.5807
-0.7425   -0.6331
-0.7901   -0.6924
-0.8184   -0.7347
-0.8220   -0.7542
-0.8244   -0.7646
-0.8241   -0.7689
-0.8232   -0.7688
-0.8168   -0.7613
-0.8022   -0.7440
-0.7761   -0.7130
-0.7265   -0.6505
-0.6367   -0.5644
-0.4723   -0.3521
-0.1508   -0.0748
 0.2962    0.4519
 0.9478    0.8990
 0.4572    0.3948
 0.2739    0.2217
 0.1789    0.1353
 0.1387    0.1033
 0.1248    0.0929
 0.1200    0.0920
 0.1213    0.0955
 0.1248    0.1009
 0.1304    0.1075
 0.1361    0.1140
 0.1414    0.1200
 0.1465    0.1255
 0.1517    0.1305
 0.1561    0.1347
 0.1603    0.1384
 0.1640    0.1414
 0.1677    0.1438
 0.1705    0.1455
 0.1735    0.1463
 0.1758    0.1461
 0.1789    0.1454
 0.1808    0.1434
 0.1835    0.1404
 0.1847    0.1360
 0.1940    0.1320
 0.2105    0.1280
 0.2250    0.1234
 0.2248    0.1275


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  1.500       0.018     0.564    -0.091     0.745     1.000    0.0000  -0.7231
 Cpi          Cpv
-----------------
 0.2236    0.1287
 0.1902    0.1211
 0.1474    0.1095
 0.0885    0.0898
 0.0357    0.0644
-0.0043    0.0356
-0.0420    0.0004
-0.0793   -0.0507
-0.1208   -0.1407
-0.1665   -0.3005
-0.2175   -0.4705
-0.2749   -0.4775
-0.3380   -0.4837
-0.4144   -0.4906
-0.4985   -0.5011
-0.5813   -0.5211
-0.6524   -0.5575
-0.7117   -0.6130
-0.7549   -0.6690
-0.7787   -0.7053
-0.7777   -0.7187
-0.7748   -0.7231
-0.7683   -0.7210
-0.7601   -0.7136
-0.7449   -0.6977
-0.7195   -0.6703
-0.6799   -0.6272
-0.6132   -0.5490
-0.5017   -0.4431
-0.3090   -0.2119
 0.0339    0.0954
 0.5344    0.6388
 0.8287    0.7661
 0.3179    0.2550
 0.1619    0.1207
 0.0933    0.0512
 0.0706    0.0398
 0.0694    0.0406
 0.0738    0.0486
 0.0822    0.0588
 0.0912    0.0695
 0.1012    0.0802
 0.1104    0.0902
 0.1187    0.0991
 0.1264    0.1071
 0.1338    0.1142
 0.1400    0.1203
 0.1459    0.1256
 0.1511    0.1301
 0.1561    0.1339
 0.1602    0.1368
 0.1644    0.1389
 0.1677    0.1398
 0.1718    0.1401
 0.1746    0.1392
 0.1782    0.1373
 0.1803    0.1339
 0.1904    0.1310
 0.2077    0.1281
 0.2230    0.1244
 0.2236    0.1287


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  1.000       0.017     0.511    -0.092     0.759     1.000    0.0000  -0.6813
 Cpi          Cpv
-----------------
 0.2224    0.1288
 0.1898    0.1212
 0.1478    0.1097
 0.0897    0.0903
 0.0379    0.0650
-0.0012    0.0354
-0.0377   -0.0033
-0.0739   -0.0637
-0.1140   -0.1732
-0.1582   -0.3409
-0.2076   -0.4387
-0.2630   -0.4453
-0.3239   -0.4516
-0.3977   -0.4591
-0.4788   -0.4711
-0.5582   -0.4940
-0.6256   -0.5339
-0.6808   -0.5910
-0.7198   -0.6428
-0.7391   -0.6735
-0.7337   -0.6813
-0.7256   -0.6800
-0.7132   -0.6717
-0.6978   -0.6574
-0.6741   -0.6333
-0.6385   -0.5961
-0.5861   -0.5415
-0.5035   -0.4487
-0.3723   -0.3237
-0.1551   -0.0770
 0.2025    0.2530
 0.7236    0.7893
 0.6409    0.5760
 0.1629    0.0959
 0.0420    0.0112
 0.0035   -0.0368
-0.0001   -0.0276
 0.0125   -0.0138
 0.0267    0.0034
 0.0424    0.0208
 0.0571    0.0370
 0.0716    0.0521
 0.0845    0.0657
 0.0959    0.0776
 0.1062    0.0881
 0.1157    0.0974
 0.1240    0.1054
 0.1315    0.1124
 0.1382    0.1184
 0.1447    0.1236
 0.1500    0.1277
 0.1553    0.1310
 0.1597    0.1331
 0.1648    0.1344
 0.1685    0.1345
 0.1730    0.1336
 0.1760    0.1313
 0.1869    0.1293
 0.2051    0.1272
 0.2211    0.1244
 0.2224    0.1288


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  0.500       0.017     0.463    -0.092     0.778     1.000    0.0000  -0.6487
 Cpi          Cpv
-----------------
 0.2214    0.1341
