"ag09 predicted predicted at" "2021-01-20 19:48:43"
0.71104944 -0.001828314
0.71912503 -0.0018313241
0.72720057 -0.0018363532
0.73527616 -0.0018434512
0.74335176 -0.0018526677
0.7514273 -0.0018640524
0.7595029 -0.0018776552
0.7675785 -0.0018935255
0.775654 -0.0019117133
0.7837296 -0.0019322681
0.7918052 -0.0019552398
0.79988074 -0.001980678
0.80795634 -0.0020086325
0.81603193 -0.002039153
0.82410747 -0.0020722891
0.83218306 -0.0021080908
0.84025866 -0.0021466075
0.8483342 -0.0021878888
0.8564098 -0.002231985
0.8644854 -0.0022789454
0.8725609 -0.0023288196
0.8806365 -0.0023816577
0.8887121 -0.0024375091
0.89678764 -0.002496424
0.90486324 -0.0025584514
0.91293883 -0.0026236414
0.92101437 -0.0026920435
0.92908996 -0.002763708
0.93716556 -0.002838684
0.94524026 -0.0029170215
0.9532514 -0.00299877
0.96050334 -0.0030839795
0.96858275 -0.0031726996
0.97665834 -0.00326498
0.9847339 -0.0033608703
0.9927959 -0.0034604205
1.0 -0.00356368
